$ java Win2Timing
========== Running Win2Timing 100 gcc-2.7.0.tar
======================== multiplier 2
100 120.30429042620442 1174986617
150 179.51885624081572 1272294483
200 241.9957786927788 1360836206
250 306.717245916018 1395155487
300 370.9761175425336 1455959275
350 433.6306285359994 1502332796
400 494.5233423485532 1509185226
450 551.8538683078865 1574101438
500 612.8163676589779 1627759518
550 674.6980513216284 1608619388
600 735.060826611314 1606516683
650 794.8991305336136 1624464385
700 857.0980392156863 1670634681
750 920.7372301211163 1710871096
800 984.5738016470754 1744108385
850 1047.5821007302004 1787476999
900 1110.3222733767266 1814358518
950 1171.2166122414803 1847391252
1000 1231.5949812898966 1860218178
======================== multiplier 4
100 200.73100904792315 1081413400
150 308.19724144009166 1189256938
200 409.8340194254406 1285058589
250 512.7695296748415 1334520592
300 618.2470718232045 1370345156
350 720.1317957166392 1408400367
400 822.6447496103743 1413890511
450 928.4991702621971 1448869935
500 1055.1684079508166 1538183420
550 1167.4044399933234 1550808446
600 1277.5449812768288 1557126167
650 1390.7178365480215 1582659568
700 1496.7460274998662 1627009148
750 1601.2638085971037 1671659534
800 1702.3049774857004 1701848609
850 1803.951508898633 1747088358
900 1908.1699747629766 1757351935
950 2015.5389048991356 1781127891
1000 2121.2981498331815 1785034796
======================== multiplier 6
100 212.66033705559062 1047903868
150 325.2116294479383 1141132482
200 432.43751255931863 1242151624
250 544.1151414956724 1292187326
300 658.1119292385142 1325945197
350 769.831590533847 1359426009
400 882.1517989468042 1362158058
450 1000.0958066707182 1383600312
500 1140.6539998369078 1480760820
550 1265.3525713510335 1484040474
600 1386.6508054522924 1497448467
650 1507.797779454565 1526989344
700 1626.1148570099976 1574158684
750 1740.647088103534 1618056245
800 1849.63173553719 1662349838
850 1962.2417058287158 1691136373
900 2071.3519917073895 1703870640
950 2193.1389150203827 1728818356
1000 2308.4148857166433 1729141165
